StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3
2022-05-24 14:22:31,2022-05-24 14:24:26,IP Address,104.56.132.237,100,115,True,2022-05-24 14:24:26,R_3QDwcdokCG2jTuG,,,,,38.1278,-85.5741,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,9,6,8,8,8,8,9,8,9,8,10,9,9,10,10,10,10,10,4,9,6,7,10,9,10,7,9,7,8,8,6,7,7
2022-05-24 14:25:08,2022-05-24 14:25:34,IP Address,82.170.29.223,100,26,True,2022-05-24 14:25:35,R_3oyXR3kLF9UIrT8,,,,,52.2786,5.1635,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,,,,,,
2022-05-24 14:34:10,2022-05-24 14:37:12,IP Address,212.159.74.113,100,181,True,2022-05-24 14:37:12,R_32JVaFjrnGOUlTJ,,,,,51.509,-0.1882,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",7,6,7,9,9,9,7,9,8,8,7,8,6,7,6,7,9,9,5,7,5,4,7,5,7,7,7,8,8,8,7,7,7,6,6,6
2022-05-24 14:40:55,2022-05-24 14:43:46,IP Address,162.231.69.2,100,171,True,2022-05-24 14:43:47,R_1ikUGhQjZS6RZJt,,,,,35.0562,-80.8194,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,7,8,8,7,9,,7,6,6,5,6,6,9,9,9,4,7,5,2,8,6,1,6,5,7,4,5,2,3,3,1,3,2
2022-05-24 14:47:22,2022-05-24 14:49:56,IP Address,81.109.236.234,100,154,True,2022-05-24 14:49:57,R_2QKBOBmTGNdaFeK,,,,,53.0632,-0.7842,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,7,7,10,10,10,10,10,10,9,10,10,7,9,8,10,10,10,7,10,8,8,10,9,8,8,8,10,10,10,9,9,9,8,9,8
2022-05-24 14:51:21,2022-05-24 14:53:41,IP Address,94.11.157.212,100,139,True,2022-05-24 14:53:41,R_BPzLWS3pTSYFU2J,,,,,52.5279,-2.0705,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",10,10,10,5,7,7,8,10,10,10,9,10,10,10,10,,10,10,3,8,7,5,8,8,10,10,10,1,2,2,10,10,10,10,9,9
2022-05-24 14:54:37,2022-05-24 14:58:10,IP Address,73.13.30.232,100,213,True,2022-05-24 14:58:11,R_3fnTwxLdE769nyN,,,,,40.2673,-74.9487,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",6,5,8,8,8,9,8,10,9,10,10,10,10,10,10,3,5,6,7,7,10,4,8,8,6,6,7,9,5,9,1,4,5,1,3,1
2022-05-24 14:59:45,2022-05-24 15:02:39,IP Address,82.69.84.63,100,173,True,2022-05-24 15:02:39,R_2fCdp75CtYV5vpu,,,,,51.5664,-0.2981,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",6,2,2,8,7,8,6,9,7,9,8,8,6,6,4,5,9,9,4,9,6,3,4,1,7,7,7,9,9,10,9,8,9,7,8,8
2022-05-24 15:02:22,2022-05-24 15:04:39,IP Address,68.187.15.146,100,137,True,2022-05-24 15:04:40,R_1LwB98LZLmS7oLA,,,,,38.6976,-90.3604,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,4,6,9,6,7,9,7,7,8,7,6,7,8,7,9,8,8,6,8,6,6,7,7,6,7,6,8,9,9,9,9,9,7,7,8
2022-05-24 15:11:07,2022-05-24 15:14:24,IP Address,79.122.118.225,100,196,True,2022-05-24 15:14:24,R_1fla6BECex3wr1y,,,,,47.5608,19.5122,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",10,7,9,10,9,9,7,10,9,5,7,6,7,8,8,9,8,8,5,7,7,5,9,9,6,6,7,5,5,5,7,6,4,4,4,4
2022-05-24 15:13:16,2022-05-24 15:15:40,IP Address,86.145.102.48,100,143,True,2022-05-24 15:15:40,R_ZzezXDuYFzo9ZyV,,,,,52.7719,-1.5463,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,6,8,8,8,8,9,9,9,7,9,8,10,9,10,10,9,10,7,8,7,8,8,7,6,7,8,9,10,10,8,9,8,8,7,10
2022-05-24 15:22:29,2022-05-24 15:23:18,IP Address,71.191.89.215,100,48,True,2022-05-24 15:23:18,R_6YyUIe5l4x8bKSJ,,,,,38.9258,-77.3939,anonymous,EN,Assassin's Creed: Revelations (2011),,,,,,,,,,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 15:27:47,2022-05-24 15:29:59,IP Address,37.101.7.231,100,131,True,2022-05-24 15:29:59,R_2zl2zRRTqaQE8YC,,,,,41.1122,16.8547,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,5,6,9,8,9,10,10,10,10,9,9,7,8,8,8,8,9,9,8,9,6,9,8,5,7,6,9,7,8,1,1,3,6,2,4
2022-05-24 15:33:18,2022-05-24 15:35:04,IP Address,90.216.65.122,100,106,True,2022-05-24 15:35:04,R_3Oe8mA4vAPCLKum,,,,,52.6631,-2.4705,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,4,6,10,7,10,8,10,10,8,10,10,6,7,6,8,8,8,7,8,8,2,1,1,3,2,3,7,9,8,7,7,7,6,8,7
2022-05-24 15:35:13,2022-05-24 15:35:33,IP Address,73.26.119.231,100,19,True,2022-05-24 15:35:33,R_30wxOzDJk9Y4yHE,,,,,35.1518,-106.5789,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,
2022-05-24 15:38:11,2022-05-24 15:40:57,IP Address,76.69.198.101,100,165,True,2022-05-24 15:40:57,R_2CJLOoQIBAdQE4U,,,,,45.3879,-71.8988,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017)",9,8,10,6,9,10,8,8,10,8,8,9,3,5,1,9,7,10,1,7,2,7,7,9,2,5,4,4,3,1,,,,,,
2022-05-24 15:44:51,2022-05-24 15:45:06,IP Address,150.220.50.15,100,15,True,2022-05-24 15:45:06,R_WvP2myb27DAn7Ff,,,,,30.5709,-97.4093,anonymous,EN,Assassin's Creed (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 16:00:51,2022-05-24 16:01:10,IP Address,104.28.50.199,100,19,True,2022-05-24 16:01:11,R_3Kq2Vke7qR41lq3,,,,,36.16,-95.988,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,9,,,,,,
2022-05-24 16:06:05,2022-05-24 16:07:56,IP Address,86.4.165.21,100,110,True,2022-05-24 16:07:56,R_Uu9SV5hqekMiW8V,,,,,53.7687,-2.4667,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",10,5,10,10,7,10,10,8,10,7,8,9,7,6,7,10,9,10,8,9,8,8,9,9,7,8,8,9,,10,7,9,9,,,
2022-05-24 16:11:50,2022-05-24 16:12:03,IP Address,69.131.118.160,100,12,True,2022-05-24 16:12:03,R_1o7mFEFghJxRUpZ,,,,,35.8893,-96.0858,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,
2022-05-24 16:23:35,2022-05-24 16:25:09,IP Address,64.43.18.27,100,93,True,2022-05-24 16:25:10,R_1ODLvOzEed8gyOY,,,,,52.6669,-8.6274,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",7,7,7,10,10,10,8,8,8,7,7,7,7,7,7,10,10,10,6,6,6,7,7,7,6,6,6,10,10,10,9,9,9,8,8,8
2022-05-24 16:46:08,2022-05-24 16:46:16,IP Address,81.26.204.215,100,7,True,2022-05-24 16:46:16,R_A07CLiBaRCG2z7P,,,,,41.3253,19.8184,anonymous,EN,Assassin's Creed: Syndicate (2015),,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,
2022-05-24 17:02:04,2022-05-24 17:05:14,IP Address,172.103.209.99,100,189,True,2022-05-24 17:05:14,R_1rIxPrF51fNnBHL,,,,,48.4152,-123.3655,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",4,5,6,4,4,4,3,4,4,4,5,6,3,5,4,4,4,4,3,3,3,7,9,9,5,9,9,8,9,9,4,8,8,3,9,8
2022-05-24 17:04:16,2022-05-24 17:06:34,IP Address,66.220.64.121,100,138,True,2022-05-24 17:06:34,R_2E75X6RkSrAgHBc,,,,,33.7196,-78.9754,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",7,7,8,9,8,8,9,9,9,10,9,9,8,7,7,8,6,3,10,7,9,8,10,10,9,10,10,9,4,4,7,4,3,,,
2022-05-24 17:04:42,2022-05-24 17:06:54,IP Address,46.5.139.59,100,132,True,2022-05-24 17:06:54,R_tEUL5LI7788RjWh,,,,,49.1408,9.2149,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,7,8,9,8,9,8,10,10,8,8,7,5,6,4,10,9,10,4,9,6,2,2,1,1,5,3,7,10,9,5,8,7,6,6,8
2022-05-24 17:05:21,2022-05-24 17:07:02,IP Address,141.156.198.64,100,100,True,2022-05-24 17:07:02,R_1g5bvqdGnc9ulta,,,,,38.8452,-77.4651,anonymous,EN,"Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,,,,,,,,,,,,,,,,,,,9,9,9,7,8,9,6,7,7,9,7,8,9,10,10
2022-05-24 17:36:51,2022-05-24 17:38:35,IP Address,38.20.255.172,100,104,True,2022-05-24 17:38:35,R_22xBe5bAjwLEmzz,,,,,44.6814,-63.6571,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",9,10,10,10,10,10,,,,,,,3,4,2,10,10,10,,,,,,,8,8,8,9,9,9,8,9,9,,,
2022-05-24 17:49:15,2022-05-24 17:53:38,IP Address,47.32.161.12,100,262,True,2022-05-24 17:53:38,R_3HTGLTnUUcyr8SL,,,,,35.6409,-120.701,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Valhalla (2020)",5,4,5,8,6,9,6,8,7,7,8,7,7,7,8,10,8,10,7,8,7,6,9,7,5,5,5,6,4,6,,,,7,5,6
2022-05-24 17:55:25,2022-05-24 17:56:53,IP Address,24.212.238.44,100,87,True,2022-05-24 17:56:53,R_1kUEqmAdkbJHqu8,,,,,45.4446,-75.6385,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,9,8,8,7,10,9,,,,7,5,6,8,10,9,,,,9,6,7,7,5,5,10,7,9,10,9,10,8,8,8
2022-05-24 17:56:49,2022-05-24 17:57:02,IP Address,82.18.246.108,100,12,True,2022-05-24 17:57:02,R_1FLZJ3sDT4koTb2,,,,,51.7399,-0.4705,anonymous,EN,Assassin's Creed: Brotherhood (2010),,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 18:02:21,2022-05-24 18:16:18,IP Address,79.205.207.238,100,836,True,2022-05-24 18:16:18,R_3EtAoncWDraxD0I,,,,,51.4206,6.7606,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",7,7,8,7,7,8,6,6,7,6,6,7,6,6,7,8,8,9,6,8,7,2,6,6,4,6,6,6,7,8,5,6,6,6,6,7
